USTC;Beiträger1;GNDBeiträger;Funktion;;;;;
689113;Hieronymus Vehus;118626388;Beiträger;;;;;
689113;Jakob Wimpfeling;118769189;Beiträger;;;;;
689113;Hieronymus Wurm;119875330;Beiträger;;;;;
689113;Johannes Adelphus;118500643;Beiträger;;;;;
689113;Thomas Vogler;119438836;Beiträger;;;;;
689113;Hieronymus Pius Baldung;119612453;Beiträger;;;;;
689113;Georg Northofer;1012793672;Beiträger;;;;;
689113; Johannes Schlupf;119821036;Beiträger;;;;;
747706;Maurus Honoratus Servius;118796313;Kommentator;;;;;
747706;Cristoforo Landino;118569112;Kommentator;;;;;
747706;Antonio Mancinelli;124652174;Kommentator;;;;;
679599;Ortwin Gratius;118697218;Beiträger;;;;;
665820;Ortwin Gratius;118697218;Beiträger;;;;;
664310;Ortwin Gratius;118697218;Beiträger;;;;;
707771;Kaiser Maximilian I.;118579371;Beiträger;;;;;
669021;Kaiser Maximilian I.;118579371;Beiträger;;;;;
2212518;Andreas Kanter;119725827;Übersetzer;;;;;
608383;Philipp von Daun-Oberstein, Erzbischof von Köln;135671795;Beiträger;;;;;
694763;Kaiser Maximilian I.;118579371;Beiträger;;;;;
N/A;Hans Burgkmaier d. Ä.;118665200;Entwurf;;;;;
N/A;Hans Burgkmaier d. Ä.;118665200;Entwurf;;;;;
752706;Peter Flötner;118534017;Beiträger;;;;;
700090;Johann Otmar;115858679;Beiträger;;;;;
700089;Johann Otmar;115858679;Beiträger;;;;;
990437;Antonius Pizamanus;129050911;Herausgeber;;;;;
990438;Antonius Pizamanus;129050911;Herausgeber;;;;;
765846;Gonzalo Garcia de Santa Maria;52523730;Herausgeber;;;;;
748745;Meister Fremhart, Pfarrer zu Strazgang;119061473;Übersetzer;;;;;
642535;Ludwig Hätzer;118719823;Übersetzer;;;;;
627173;Wenzeslaus Link;118573063;Übersetzer;;;;;
627172;Wenzeslaus Link;118573063;Übersetzer;;;;;
627171;Wenzeslaus Link;118573063;Übersetzer;;;;;
203036;Bartholomaeus Bellatus;1157854931;Herausgeber;;;;;
210027;Johannes Sudoris;1157854931;Herausgeber;;;;;
995162;Thomas Penketh;103115684;Herausgeber;;;;;
995162;Bartholomaeus Bellatus;1089365950;Herausgeber;;;;;
744506;Thomas Penketh;103115684;Herausgeber;;;;;
744506;Bartholomaeus Bellatus;1089365950;Herausgeber;;;;;
995161;Thomas Penketh;103115684;Herausgeber;;;;;
995161;Bartholomaeus Bellatus;1089365950;Herausgeber;;;;;
995160;Gratianus Brixianus;100947077;Herausgeber;;;;;
995159;Philippus Bagnacavallus;1089168640;Herausgeber;;;;;
N/A;Philippus Bagnacavallus;1089168640;Herausgeber;;;;;
N/A;Philippus Bagnacavallus;1089168640;Herausgeber;;;;;
995164;Frater Rufinus OFM (Korr.);129066087;Beiträger;;;;;
995163;Antonius Bononiensis;104040599;Beiträger;;;;;
995163;Christophorus Bellapiera;1070601764;Kosten und Veranlassung;;;;;
