entstanden;Verfasser;GNDVerfasser;Einheitstitel;Alternativtitel;Druckdatum;Druckort;Drucker1;GNDDrucker1;Drucker2;GNDDrucker2;Drucker3;GNDDrucker3;Drucker4;GNDDrucker4;Umfang;Format;Sprache;Anmerkung;USTCSubject;GW;ISTC;BSB_Ink;VE15;VD16;USTC;Literatur;IDa;Landa;Stadta;Insitutiona;Signatura;erstellta;geänderta;IDb;Landb;Stadtb;Insitutionb;Signaturb;erstelltb;geändertb;Idc;Landc;Stadtc;Insitutionc;Signaturc;erstelltc;geändertc;IDd;Landd;Stadtd;Insitutiond;Signaturd;erstelltd;geändertd;IDe;Lande;Stadte;Insitutione;Signature;erstellte;geänderte;RIDf;Landf;Stadtf;Insitutionf;Signaturf;erstelltf;geändertf
1535-11-24, vor (Todesdatum);Ulrich Zasius;118772295;Questiones: de paruulis judeorum baptisandis: a communi doctorum assertione dissidentes. In quibus preter stili nitorem: rara: jucunda et grata invenias. Ab excellentiss. Viro Udalrico Zasio: legum doctore: earundemque in gymnasio Friburgeñ. Ordinario: edite.;N/A;1508-00-00;Strassburg;Johann Grüninger;118698451;N/A;N/A;N/A;N/A;N/A;N/A;ff. [53];4°;Latein;Nebent.: De iudeis. - Signaturformel: A - H5;Jurisprudenz;N/A;N/A;N/A;N/A;Z 178;689113;VL-Hum II (2013) 1421-1446. Schreckenberg III (1994) 580-581;[1] urn:nbn:de:bvb:12-bsb00013187-9. [2] urn:nbn:de:bvb:12-bsb00013146-3. [3] urn:nbn:de:bvb:12-bsb10906401-8. [4] urn:nbn:de:bvb:12-bsb00012822-2;Deutschland;München;Bayerische Staatsbibliothek (BSB);[1] 4 Polem. 621#Beibd.2 . [2] Res/4 P.lat. 1347. [3] Res/4 P.lat. 195#Beibd.2. [4] Res/4 P.lat. 1346;[1] 2008-05-23. [2] 2008-05-23. [3] 2014-05-14. [4] 2008-05-23;[1] 2012-03-29 . [2] 2012-03-29. [3] 2020-09-04. [4] 2012-03-29;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1491-00-00;Hans Folz;118534211;[1] Die Rechnung Ruprecht Kolpergers (GW) [2] Jüdischer Wucher (Schreckenberg);N/A;1491-00-00;Nürnberg;Hans Mair;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ff. 4;2°;Deutsch;betrifft Wucher. https://www.gesamtkatalogderwiegendrucke.de/docs/FOLZHAN.htm. Chronlogie der Drucke bei: Auswahl / Hans Foltz. Bearb. von Ingeborg Spriewald (UB Gießen, FH Germ VOL 5 / 24.31 );Musik;10149;if00239580;F-179;N/A;N/A;744918;VL II (1980) 769-793. VL XI (2004) 449-450;urn:nbn:de:bvb:12-bsb00027505-2;Deutschland;München;Bayerische Staatsbibliothek (BSB);Rar. 188;2008-05-23;2012-03-29;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1491-00-00;Hans Folz;118534211;[1] Die Rechnung Ruprecht Kolpergers (GW) [2] Jüdischer Wucher (Schreckenberg);Die rechn?g Ruprecht Kolpergers v? d? gesuch ter iuden auf 30 dn? [Schöner. Incipit];[1] 1491-00-00, um (ISTC) [2] 1495-00-00, um (GW);Nürnberg;Hans Mair;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;Deutsch;Einblattdruck. betrifft Wucher. https://www.gesamtkatalogderwiegendrucke.de/docs/FOLZHAN.htm. Chronlogie der Drucke bei: Auswahl / Hans Foltz. Bearb. von Ingeborg Spriewald (UB Gießen, FH Germ VOL 5 / 24.31). Holzschnitt. typographischer Text. Transkription bei Schöner (2002) 391-394, Nr. 62. Abb: Schöner (2002) 213, nach: Gisela Ecker, Einblattdrucke von den Anfängen bis 1555. Untersuchungen zu einer Publikationsform literarischer Texte, 2 Bde (= Göppinger Arbeiten zur Germanistik 314, 1/2), Göppingen 1981, hier Bd. 2, S. 39, Abb. 10 [Bd. 1: urn:nbn:de:hbz:466:2-7075. Bd. 2: urn:nbn:de:hbz:466:2-7118 ];Musik;10150;if00239590;F-178;F-47;N/A;744919;Schöner (2002) 391-394, Nr. 62. VL II (1980) 769-793. VL XI (2004) 449-450.;urn:nbn:de:bvb:12-bsb00101643-2;Deutschland;München;Bayerische Staatsbibliothek (BSB);Einbl. I,46 r;2015-11-05;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1491-00-00;Hans Folz;118534211;[1] Die Rechnung Ruprecht Kolpergers (GW) [2] Jüdischer Wucher (Schreckenberg);N/A;[1] 1491-00-00, um (ISTC) [2] 1495-00-00, um (GW);Nürnberg;Hans Mair;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;Deutsch;Einblattdruck. betrifft Wucher. https://www.gesamtkatalogderwiegendrucke.de/docs/FOLZHAN.htm. Chronlogie der Drucke bei: Auswahl / Hans Foltz. Bearb. von Ingeborg Spriewald (UB Gießen, FH Germ VOL 5 / 24.31 );Musik;10151;if00239600;F-177;F-46;N/A;744920;VL II (1980) 769-793. VL XI (2004) 449-450;urn:nbn:de:bvb:12-bsb00101644-8;Deutschland;München;Bayerische Staatsbibliothek (BSB);Einbl. I,46 s;2015-11-05;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;Hans Folz;118534211;Krieg des Dichters wider einen Juden;N/A;1479-00-00;Nürnberg;Hans Folz;118534211;N/A;N/A;N/A;N/A;N/A;N/A;ff. 14;4°;Deutsch;https://www.gesamtkatalogderwiegendrucke.de/docs/FOLZHAN.htm. Chronlogie der Drucke bei: Auswahl / Hans Foltz. Bearb. von Ingeborg Spriewald (UB Gießen, FH Germ VOL 5 / 24.31 );Musik;10142;if00239510;F-176;N/A;N/A;744911;VL II (1980) 769-793. VL XI (2004) 449-450;urn:nbn:de:bvb:12-bsb00027009-2;Deutschland;München;Bayerische Staatsbibliothek (BSB);Rar. 182#Beibd.4;2008-05-23;2012-03-29;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1483-00-00--1488-00-00, um;Hans Folz;118534211;[1] Von der Juden Messias [2] Der falsche Messias (Schreckenberg);N/A;1483-00-00--1488-00-00, um;Nürnberg;Hans Folz;118534211;N/A;N/A;N/A;N/A;N/A;N/A;ff. 6;8°;Deutsch;https://www.gesamtkatalogderwiegendrucke.de/docs/FOLZHAN.htm. Chronlogie der Drucke bei: Auswahl / Hans Foltz. Bearb. von Ingeborg Spriewald (UB Gießen, FH Germ VOL 5 / 24.31 );Musik;10144;if00239530;N/A;N/A;N/A;744913;VL II (1980) 769-793. VL XI (2004) 449-450;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1483-00-00--1488-00-00, um;Hans Folz;118534211;[1] Von der Juden Messias [2] Der falsche Messias (Schreckenberg);N/A;1491-00-00--1499-00-00, um;Nürnberg;Peter Wagner;188351264;N/A;N/A;N/A;N/A;N/A;N/A;ff. 6;8°;Deutsch;https://www.gesamtkatalogderwiegendrucke.de/docs/FOLZHAN.htm. Chronlogie der Drucke bei: Auswahl / Hans Foltz. Bearb. von Ingeborg Spriewald (UB Gießen, FH Germ VOL 5 / 24.31 );Musik;10145;if00239540;N/A;N/A;N/A;744914;VL II (1980) 769-793. VL XI (2004) 449-450;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;Hans Folz;118534211;Von dem Kunig Salomon und Marckolffo und einem narrn ein huebsch faßnacht spil new gemacht.;N/A;1521-00-00;Nürnberg;Johann Stuchs;13194553X;N/A;N/A;N/A;N/A;N/A;N/A;ff. [16];8°;Deutsch;Judenfeindlich?;Spiel;N/A;N/A;N/A;N/A;N/A;700081;VL II (1980) 769-793. VL XI (2004) 449-450;http://resolver.staatsbibliothek-berlin.de/SBB00014F2200000000 [PURL];Deutschland;Berlin;Staatsbibliothek Preußischer Kulturbesitz;11 in: Yd 7820;2019-05-27;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1477-00-00 (nach Hostienfrevel in Passau);N/A;N/A;Geschichte der Juden von Passau mit dem Sakrament im Jahr 1477;Ein grawsamlich geschicht Geschehen zu passaw [Schöner. Incipit];[1] 1497-00-00, um (GW) [2] 1500-00-00, um (ISTC) [3] 1495 [Schöner];Nürnberg;Kaspar Hochfeder?;119338297;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;Deutsch;betrifft Hostienfrevel in Passau 1477. Holzschnitt,Format 380 x 270. typographischer Text, Prosa. Transkription bei Schöner (2002) 363-364, Nr. 41. Abb. Schöner (2002) 151, nach: W[ilhelm] L[udwig] Schreiber, Holzschnitte aus dem letzten drittel des fu?nfzehnten Jahrhunderts in der KGL. graphischen Sammlung zu Mu?nchen, II. Band (zweite Ha?lfte, Nr. 124-179) (= Einblattdrucke des fünfzehnten Jahrhunderts 33 [nicht 32 wie bei Schöner fälschlischerweise angegeben], hrsg. von Paul Heitz), Straßburg 1912, S. 159.;History and Chronicles;M29568. GW(Einbl) 1079;ip00127950;N/A;P-7;N/A;747705;"Schöner (2002) 362-364, Nr. 41. ISTC ip00127950: ""Schramm XVIII 713. GW(Einbl) 1079. VE15 P-7. M29568. H. Boockmann, Die Stadt im Späten Mittelalter (München, 1986) p.286-87 no.429 & fig.. Schanze(Romweg-Karte) p.136. Schanze(Inkunabelgrenze) 83. Van der Vekene(Hochfeder) 41 & figs.56-58. Schr(Handbuch) 1965. Fac: Schmidt(Denkmale) fig.22. Heitz, Einblattdrucke XXXII 159""";N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1477-00-00 (nach Hostienfrevel in Passau);N/A;N/A;Geschichte der Juden von Passau mit dem Sakrament im Jahr 1477;N/A;1500-00-00, um;Augsburg;Johann Froschauer;131600680;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;Deutsch;betrifft Hostienfrevel in Passau 1477. Holzschnitte;History and Chronicles;M29569;ip00127960;N/A;N/A;N/A;747706;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
